Stroke,English_Type
發短球,gentle short serve aimed at front court
發長球,high deep serve from mid-court to the back boundary
撲球,fast leap at the net to intercept and drive
殺球,powerful overhead smash with steep downward angle
長球,defensive shot aimed to the rear end of the court
切球,deceptive soft shot from high position
推球,fast flat push to drive shuttle low over the net
挑球,underhand lift to push shuttle high and far
放小球,softly lifted shot landing close to net
擋小球,gentle touch to stop shuttle near net
勾球,cross-court net shot from low position
